中半山,慧豪閣,7/P8,1.330,2018-03-01,"
"
大埔,新興花園,-/P203,0.990,2018-02-26,"
"
屯門,怡峰園,C3/C116,0.700,2018-02-26,"
"
屯門,綠怡居,B/236,0.870,2018-02-26,"
"
屯門,愛琴灣,"-/98,99",1.150,2018-02-26,"
"
屯門,愛琴灣,"-/116,126",1.150,2018-02-26,"
"
東涌,東環 第02期,B/1032,1.320,2018-02-26,"
"
東涌,映灣園 第06期,B1/C345,1.580,2018-02-26,"
"
沙田,濱景花園,1/141,0.810,2018-02-26,"
"
沙田,金獅花園 第02期,L3/96,1.168,2018-02-26,"
"
沙田,富豪花園,B2/1132,0.725,2018-02-26,"
"
元朗,新時代廣場,LG/149,2.000,2018-02-26,"
"
元朗,溱柏,-/217,1.000,2018-02-26,"
"
元朗,采葉庭,B/E24,1.200,2018-02-26,"
"
元朗,采葉庭,B/E26,1.200,2018-02-26,"
"
元朗,朗晴居,B/237,0.700,2018-02-26,"
"
元朗,翠疊軒,"B/29,45,53",1.064,2018-02-26,"
"
元朗,華翠豪園,B1/11,0.650,2018-02-26,"
"
青衣,盈翠半島,5/5R128,2.600,2018-02-26,"
"
青衣,海欣花園,G/C21,1.700,2018-02-26,"
"
青衣,海欣花園,G/C67,1.700,2018-02-26,"
"
西貢,傲瀧,-/3474C,2.200,2018-02-23,"
"
鰂魚涌,寶峰園,G/14,1.600,2018-02-23,"
"
西貢,傲瀧,-/3332C,2.200,2018-02-23,"
"
西貢,傲瀧,-/3435C,2.200,2018-02-23,"
"
西貢,傲瀧,-/8805A,2.000,2018-02-23,"
"
西貢,傲瀧,-/8806A,2.000,2018-02-23,"
"
石硤尾,又一居 停車場 第26-33座,CP1/22,1.400,2018-02-23,"
"
青衣,青怡花園,B/297,1.388,2018-02-23,"
"
鰂魚涌,南豐新村,LG2/12,1.220,2018-02-23,"
"
西貢,傲瀧,-/3430C,2.000,2018-02-23,"
"
大角咀,港灣豪庭,L3/R120,1.960,2018-02-23,"
"
屯門,彩暉花園,B/78,1.060,2018-02-23,"
"
九龍灣,啟德1號 第02期 停車場,B/32,3.030,2018-02-23,"
"
大角咀,維港灣,M/M231,2.160,2018-02-23,"
"
大角咀,凱帆軒,2/34,1.980,2018-02-23,"
"
大角咀,凱帆軒,1/26,1.990,2018-02-23,"
"
大角咀,富榮花園 第02期 停車場,3/307,1.685,2018-02-23,"
"
西貢,傲瀧,-/3984D,1.900,2018-02-23,"
"
屯門,慧豐園,G/A389,0.750,2018-02-23,"
"
西貢,傲瀧,-/3433C,2.200,2018-02-23,"
"
長沙灣,永康街63號,2/P30,2.400,2018-02-23,"
"
長沙灣,泓景台,2/293,1.880,2018-02-23,"
"
荃灣,金熊工業中心,1/10,1.250,2018-02-23,"
"
紅磡,海逸豪園 玉庭軒,B2/157,2.000,2018-02-23,"
"
黃大仙,現崇山,3/P26,1.800,2018-02-23,"
"
屯門,置樂花園,1/209,0.700,2018-02-23,"
"
屯門,愛琴海岸,B1/115,1.200,2018-02-23,"
"
葵涌,縉庭山,1/25,2.200,2018-02-23,"
"
將軍澳,峻瀅,G/225,1.550,2018-02-23,"
"
荃灣,豪景花園 第03期 停車場,1/87,0.668,2018-02-23,"
"
將軍澳,南豐廣場,P2/C198,1.700,2018-02-23,"
"
馬鞍山,翠擁華庭,B2/239,1.700,2018-02-23,"
"
屯門,聚康山莊,UG/C11,1.208,2018-02-23,"
"
油塘,麗港城 第04期,B/469,2.050,2018-02-23,"
"
將軍澳,日出康城 第01期 首都,L1/1-8,2.140,2018-02-23,"
"
荃灣,寶雲匯,L3/P11,0.610,2018-02-23,"
"
荃灣,海濱花園 平台 C,L1/6,1.280,2018-02-23,"
"
荃灣,銓通工業大廈,G/22,1.450,2018-02-23,"
"
青衣,青怡花園,B/158,1.290,2018-02-23,"
"
屯門,翠濤居,CP1/138,0.800,2018-02-23,"
"
荔枝角,美孚新村 4期,2/409,1.550,2018-02-23,"
"
沙田,碧霞花園,B/91,0.420,2018-02-23,"
"
沙田,金獅花園 第01期,L4/59,1.050,2018-02-23,"
"
觀塘,電訊一代廣場,6/P9,2.000,2018-02-23,"
"
屯門,海景花園,LG1/143,0.760,2018-02-23,"
"
沙田,玖瓏山,LG/LG203,1.900,2018-02-23,"
"
香港仔,海怡半島 第03期,P1/98,1.850,2018-02-23,"
"
堅尼地城,西寧閣,L3/41,1.480,2018-02-23,"
"
沙田,玖瓏山,B/B010,4.000,2018-02-23,"
"
元朗,溱柏,-/207,1.280,2018-02-23,"
"
屯門,怡峰園,C2/C95,0.710,2018-02-23,"
"
尖沙咀,擎天半島,G/113,2.480,2018-02-23,"
"
西貢,傲瀧,-/8906D,2.000,2018-02-23,"
"
屯門,星堤,LG/P345,1.500,2018-02-23,"
"
將軍澳,寶盈花園,2/4,1.280,2018-02-23,"
"
東涌,藍天海岸 第01期,B/324,1.900,2018-02-23,"
"
紅磡,紅磡灣中心,B/84,1.730,2018-02-23,"
"
尖沙咀,擎天半島,G/46,2.400,2018-02-23,"
"
尖沙咀,擎天半島,5/91,2.438,2018-02-23,"
"
荃灣,金熊工業中心,1/11,1.250,2018-02-23,"
"
藍田,興田村,A/A32,0.980,2018-02-23,"
"
藍田,興田村,D/D35,0.928,2018-02-23,"
"
東涌,海堤灣畔,B/D288,1.600,2018-02-23,"
"
西貢,傲瀧,-/3413C,2.200,2018-02-23,"
"
大埔,新峰花園 第02期,B1/91,0.670,2018-02-23,"
"
西半山,富景花園,2/11,1.500,2018-02-23,"
"
元朗,翹翠峰,B/P117,1.350,2018-02-23,"
"
西貢,傲瀧,-/3438C,2.000,2018-02-23,"
"
西貢,傲瀧,-/3416C,2.200,2018-02-23,"
"
元朗,朗怡居,G/55,0.800,2018-02-23,"
"
元朗,朗怡居,B/48,0.800,2018-02-23,"
"
西貢,傲瀧,-/3603C,2.000,2018-02-23,"
"
藍田,興田村,D/D18,0.910,2018-02-23,"
"
屯門,怡峰園,C2/C1,0.700,2018-02-23,"
"
藍田,興田村,A/A36,0.980,2018-02-23,"
"
元朗,朗怡居,G/61,0.800,2018-02-23,"
"
屯門,屯門中央廣場,10/T150,0.980,2018-02-23,"
"
沙田,恒峰花園,L4/10,1.000,2018-02-23,"
"
大埔,大埔寶馬山,C2/43,0.560,2018-02-23,"
"
西貢,傲瀧,-/3955D,2.000,2018-02-23,"
"
西貢,傲瀧,-/3905D,2.000,2018-02-23,"
"
西貢,傲瀧,-/3526C,2.000,2018-02-23,"
"
西貢,傲瀧,-/3973D,2.000,2018-02-22,"
"
鰂魚涌,康怡花園 停車場 B區,P3/65,1.608,2018-02-22,"
"
西貢,傲瀧,-/3419C,2.000,2018-02-22,"
"
沙田,金獅花園 第02期,L4/3,1.170,2018-02-22,"
"
沙田,富豪花園,B2/1437,0.740,2018-02-22,"
"
青衣,盈翠半島,4/4R45,2.570,2018-02-22,"
"
沙田,富豪花園,B2/1268,0.750,2018-02-22,"
"
大埔,寶湖花園,B/8,1.400,2018-02-22,"
"
鰂魚涌,惠安苑,G/73,1.480,2018-02-22,"
"
沙田,金獅花園 第02期,L4/106,1.080,2018-02-22,"
"
荃灣,碧堤半島,L7/R7198,0.920,2018-02-22,"
"
荃灣,豪景花園 第02期 停車場,1/109,0.630,2018-02-22,"
"
屯門,恒順園,L3/156,0.730,2018-02-22,"
"
天水圍,嘉湖山莊 第02期 賞湖居,LG/201,1.350,2018-02-22,"
"
西貢,傲瀧,-/3450C,2.000,2018-02-22,"
"
西貢,傲瀧,-/8946D,2.000,2018-02-22,"
"
小西灣,富景花園,-/80,1.400,2018-02-22,"
"
沙田,金獅花園 第02期,L4/34,1.048,2018-02-22,"
"
沙田,金獅花園 第02期,L1/3,1.488,2018-02-22,"
"
將軍澳,富麗花園,CP/40,0.720,2018-02-22,"
"
土瓜灣,帝庭豪園,1/127,0.860,2018-02-22,"
"
長沙灣,宇晴軒,5/R194,1.800,2018-02-22,"
"
長沙灣,宇晴軒,5/R195,1.800,2018-02-22,"
"
長沙灣,爾登豪庭,B/B96,0.700,2018-02-22,"
"
將軍澳,富康花園,6/676,1.000,2018-02-22,"
"
將軍澳,富康花園,6/676,1.000,2018-02-22,"
"
將軍澳,富康花園,1/125,1.350,2018-02-22,"
"
沙田,華翠園 東翼,L1/85,0.500,2018-02-22,"
"
牛池灣,嘉峰台,P3/80,1.165,2018-02-22,"
"
東涌,東堤灣畔 停車場 北翼,G/D103,1.680,2018-02-22,"
"
牛池灣,嘉峰台,P3/80,1.165,2018-02-22,"
"
牛池灣,嘉峰台,P3/1,0.120,2018-02-22,"
"
何文田,正平大廈,1/121,0.890,2018-02-22,"
"
荃灣,寶雲匯,L3/P62,0.610,2018-02-22,"
"
石硤尾,美華閣,G/2,1.200,2018-02-22,"
"
屯門,德雅工業中心,2/L27,1.450,2018-02-22,"
"
沙田,銀禧花園,2/177,1.750,2018-02-22,"
"
長沙灣,泓景台,3/63,1.790,2018-02-22,"
"
荃灣,海濱花園 平台 C,G/24,1.580,2018-02-22,"
"
將軍澳,新都城 第03期 都會豪庭,B/RC96,1.630,2018-02-22,"
"
沙田,金獅花園 第01期,L4/7,0.998,2018-02-22,"
"
沙田,金獅花園 第01期,L2/80,1.080,2018-02-22,"
"
荔枝角,美孚新村 1期,-/59,1.000,2018-02-22,"
"
西貢,傲瀧,-/8945D,2.000,2018-02-22,"
"
屯門,大興花園 第01期,L1/33,1.068,2018-02-22,"
"
沙田,沙田第一城 第04期,G/135,1.120,2018-02-22,"
"
觀塘,俊匯中心,1/P9,1.600,2018-02-22,"
"
大角咀,凱帆軒,1/6,1.900,2018-02-22,"
"
元朗,逸翠軒,G/P15,0.328,2018-02-22,"
"
東涌,映灣園 第06期,B1/C267,1.650,2018-02-22,"
"
上水,奕翠園,P/367,0.470,2018-02-22,"
"
柴灣,杏花村,G/G21,2.500,2018-02-22,"
"
上環,豐樂閣,LG4/128,1.550,2018-02-22,"
"
薄扶林,置富花園,L1/62,1.420,2018-02-22,"
"
屯門,德雅工業中心,2/L27,1.450,2018-02-22,"
"
荃灣,豪景花園 第03期 停車場,3/204,0.650,2018-02-22,"
"
荃灣,豪景花園 第03期 停車場,2/86,0.630,2018-02-22,"
"
荃灣,環宇海灣,L1/R19,1.540,2018-02-22,"
"
沙田,帝堡城,L2/P29,1.090,2018-02-22,"
"
荃灣,豪景花園 第03期 停車場,2/85,0.630,2018-02-22,"
"
大角咀,柏景灣 帝柏海灣,B/320,2.660,2018-02-22,"
"
